source,titre,prix,type_bien,quartier,surface_m2,vendeur,date_publication,nb_images,image_url,date_scraping,ville,nb_chambres,nb_sdb,description,id_unique,telephone,whatsapp
menazel.org,مستودع للإيجار في قلب العاصمة – كبتال,20000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/816/conversions/IMG_20250816_123801-bigthumb.jpg,2026-02-27,Nouakchott,1,1,Non spécifié,01k394jgn1pznavje2yf95btm5,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01k394jgn1pznavje2yf95btm5"
menazel.org,للبيع : فندق - فرصة استثنائية في نواكشوط!,65000000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/421/conversions/h1-bigthumb.jpg,2026-02-27,Nouakchott,56,Non spécifié,Non spécifié,01js9zh7eh6pmj4hf6fh0qskh3,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01js9zh7eh6pmj4hf6fh0qskh3"
menazel.org,"شقة مفروشةمستقلة, مريحة للإيجار في حي هادئ",2000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/806/conversions/WhatsApp-Image-2025-07-27-at-15.06.05-(1)-bigthumb.jpg,2026-02-27,Nouakchott,2,1,Non spécifié,01k2akkvyj1dq5xp0jww1d2beb,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01k2akkvyj1dq5xp0jww1d2beb"
menazel.org,فيلا للإيجارفي حي هادئ ومريح,100000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/814/conversions/WhatsApp-Video-2025-08-09-at-13.44.43-bigthumb.jpg,2026-02-27,Nouakchott,8,4,Non spécifié,01k2am2dffnzg0x2pp1614jxjm,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01k2am2dffnzg0x2pp1614jxjm"
menazel.org,فرصة استثمارية مميزة في منطقة سكنية نشطة في مدريد!,400000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/798/conversions/IMG-20250721-WA0276-bigthumb.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,Non spécifié,01k0s9vt1e4gr2rb1jr4a0yfas,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01k0s9vt1e4gr2rb1jr4a0yfas"
menazel.org,قطعة أرضية شاسعه للبيع في منطقة م سويت بالقرب من منتجع صباح,3000000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/796/conversions/msuit-331-bigthumb.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,Non spécifié,01jzk5cyqs8dzp3ps7fdsja2zj,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01jzk5cyqs8dzp3ps7fdsja2zj"
menazel.org,عمارة سكنية مميزة مكونة من 6 طوابق للإيجار – فرصة استثمارية رائعة!,1500000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/793/conversions/House-bigthumb.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,Non spécifié,01jz131fz16mzdx5jq2dyr2va5,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01jz131fz16mzdx5jq2dyr2va5"
menazel.org,منزل للبيع في ملح (سكتير 2) – موقع مميز على شارع كبير,1150000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/572/conversions/WhatsApp-Image-2025-05-01-à-13.46.35_f042112c-bigthumb.jpg,2026-02-27,Nouakchott,4,2,Non spécifié,01jt5z4zmjw321rrz2p8v1s7sc,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01jt5z4zmjw321rrz2p8v1s7sc"
menazel.org,أرض في القطاع 4. من تفرغ زينة,6300000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/1/conversions/WhatsApp-Image-2025-03-24-at-18.30.03-bigthumb.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,Non spécifié,01jq6qyb49y68fvvmb2ez5ec1w,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01jq6qyb49y68fvvmb2ez5ec1w"
menazel.org,فرصة استثمارية: قطعة ارضية في تفرغ زينة منطقة سكتير 3,2450000 MRU,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifiée,1,https://menazel.org/api/media/791/conversions/IMG_5459-bigthumb.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,Non spécifié,01jys046jypkeqeyeyzj3a8mmc,22222222211,"https://wa.me/22222222211?text=مرحباً، أنا مهتم بعقارك الموجود على منازل، رابط الإعلان, https://menazel.org/property/01jys046jypkeqeyeyzj3a8mmc"
