titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques
قطعة أرضية للبيع في منطقة الصحراوي,Terrain,Vente,33000000,260.0,,,,Tevragh Zeina,Nouakchott,"#للبيع 
فرصة قطعة أرضية للبيع في منطقة الصحراوي 
#رقم_القطعة : $$$
المساحة :260 م 
#السعر : 33 مليون أوقية قديمة 

#واتساب : ‏مراسلة  عبر واتساب. https://wa.me/22243414552",voursa.com,2025-05-18,Taille rue: N/A | Proche de: الصحراوي 
نيمرو للبيـــــع فالمطار القديم ابلوك 60,Terrain,Vente,450000,180.0,,,,Dar Naim,Nouakchott,نيمرو للبيـــــع فالمطار القديم ابلوك 60 مبيوع ب 4.500,voursa.com,2025-11-26,Taille rue: N/A | Proche de: المدرسه الجمهورية 
نص فكرن من سكتير 4 للبيع ,Terrain,Vente,3400000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 300م# فكرن من سكتير 4 مبيوع ب 34ملبون للإستفسار اكثر. اتصلوا على اللهم التالي 49546950,voursa.com,2026-02-24,Taille rue: 20.00 | Proche de: سكتير 4
فرصة 300 متر مربع من تراب ديدي ب 27 ,Terrain,Vente,2700000,300.0,,,,Tevragh Zeina,Nouakchott,فرصة نيمر للبيع ف تراب ديد المساحة 300 ,voursa.com,2025-11-29,Taille rue: N/A | Proche de: تراب ديدي
ابرتماه للايجار في لكصر,Appartement/Maison,Location,8000,60.0,1.0,1.0,,Ksar,Nouakchott,ابرتماه للإيجار في لكصر تتكون من غرفة كبيرة وجلسة و كوزين وحمام وفرندا  مدخل مشترك,voursa.com,2026-01-17,type de location: Location au mois | type de propriété: Appartement | Taille rue: 8.00 | Proche de: مسجد أبو عبيدة  لبراق سابقا
رقم 20 من التيسر حي العسكري ,Terrain,Vente,600000,216.0,,,,Teyarett,Nouakchott,"السلام عليكم 
عندن رقم 20 من التيسر الحي العسكري فاتح اعل شارع اكبير 
المساحه 216م٢ 
الثمن 6 مليون 
الواتساب 30434834",voursa.com,2025-05-17,Taille rue: N/A | Proche de: نيمرو 
قطعة ارضية,Terrain,Vente,1600000,400.0,,,,Dar Naim,Nouakchott,"المطار. القديم. 

بلوك. 68.
  رقم. القطعة. 25 
المساحة. : 400م 2
الشارع 12

السعر. : 16 مليون",voursa.com,2026-02-11,Taille rue: 12.00 | Proche de: المطار القديم
سمعه فتنسويلم,Appartement/Maison,Vente,1100000,150.0,5.0,2.0,,Arafat,Nouakchott,سمعه مظبوطه فتنسويلم عند امسيد اهل احمد يوره,voursa.com,2026-02-05,Titre foncier | type de propriété: Duplex | 1 balcon(s) | Taille rue: 8.00 | Proche de: مسجد اهل احمد يوره | Garage
نيمرو أفكرن من سكتير 6 F Nord ,Terrain,Vente,6500000,700.0,,,,Tevragh Zeina,Nouakchott,نيمرو أفكرن من سكتير 6 F Nord المساحة 700م٢ الثمن 65 مليون ,voursa.com,2026-01-22,Titre foncier | Taille rue: N/A | Proche de: كدروه كمال 
دار تنباع,Appartement/Maison,Vente,900000,1.0,0.0,0.0,,Dar Naim,Nouakchott,"دار للبيع 
دار النعيم افزر الولايه
الأوراق البرمه و كتانص 
السعر  9 ملايين 
واتساب 48889930 للاتصال 34232357",voursa.com,2026-02-15,Titre foncier | type de propriété: Autre | Taille rue: N/A | Proche de: الولايه
