id,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,date_publication,quartier_encoded,log_prix,latitude,longitude,dist_centre_ville_km,dist_aeroport_km,dist_plage_km,nb_ecoles_1km,nb_mosquees_1km,nb_commerce_1km,nb_hopitaux_1km,nb_total_pois_1km,prix_m2,nb_pieces_total,type_bien,has_garage,has_jardin,has_piscine,has_balcon,has_meuble,has_titre_foncier,est_neuf,age_annonce,mois_publication,annee_publication,surface_par_chambre,surface_par_sdb,pieces_par_sdb,prix_par_piece,centre_x_plage,pois_x_centre,pois_x_plage,is_luxe,score_equipement,saison,weekend,type_commercial,type_duplex,type_maison,type_studio,type_terrain,type_villa,prix_moyen_quartier,prix_median_quartier,nb_biens_quartier,prix_m2_moyen_quartier,saison_ete,saison_hiver,saison_printemps,prix_winsorized,surface_winsorized,prix_m2_winsorized,is_price_outlier
1076,1800000.0,150.0,3.0,2.0,2.0,arafat,2025-09-13,1676908.1967213114,14.403297778421797,18.0459512,-15.9632837,6.555869546570189,7.209088782152204,6.506583074063328,14,21,23,2,60,12000.0,5,maison,1,0,0,1,0,1,0,182,9,2025,37.5,50.0,1.6666666666666667,300000.0,42.65630982748081,9.0145997574304,9.081850531109339,0,2,ete,1,False,False,True,False,False,False,1676908.0,1300000.0,244,10319.0,True,False,False,1800000.0,150.0,12000.0,0
875,1800000.0,300.0,6.0,3.0,2.0,tevragh zeina,2025-07-06,8013969.43699732,14.403297778421797,18.1111443,-16.0038402,4.225776690673765,5.873823428650048,4.641185531091832,3,3,16,0,22,6000.0,9,maison,1,0,0,1,0,0,0,251,7,2025,42.857142857142854,100.0,3.0,180000.0,19.612613634380203,5.085791887369335,4.64018964365094,0,2,ete,1,False,False,True,False,False,False,8013969.0,6500000.0,373,23995.0,True,False,False,1800000.0,300.0,6000.0,0
453,900000.0,216.0,1.0,1.0,2.0,teyarett,2026-01-20,3330685.925925926,13.71015115341694,18.1591445,-15.9271893,7.200246788349669,5.984872496035576,13.691263479642489,0,0,0,0,0,4166.666666666667,2,maison,0,0,0,1,0,1,0,53,1,2026,108.0,72.0,0.6666666666666666,300000.0,98.58047589774495,0.0,0.0,0,1,hiver,0,False,False,True,False,False,False,3330686.0,2900000.0,270,16486.0,False,True,False,900000.0,216.0,4166.666666666667,0
987,1600000.0,150.0,3.0,1.0,2.0,teyarett,2025-12-09,3330685.925925926,14.285514812209817,18.1591445,-15.9271893,7.200246788349669,5.984872496035576,13.691263479642489,0,0,0,0,0,10666.666666666666,4,maison,0,0,0,0,0,0,0,95,12,2025,37.5,50.0,1.3333333333333333,320000.0,98.58047589774495,0.0,0.0,0,0,hiver,0,False,False,True,False,False,False,3330686.0,2900000.0,270,16486.0,False,True,False,1600000.0,150.0,10666.666666666666,0
252,800000.0,180.0,3.0,2.0,2.0,toujounine,2025-04-18,1571960.0,13.592368256649284,18.0724322,-15.9099003,6.798401097987022,5.760954844879263,11.48021623371264,6,5,4,1,16,4444.444444444444,5,maison,0,0,0,1,0,1,0,330,4,2025,45.0,60.0,1.6666666666666667,133333.33333333334,78.04711464840045,2.319378037422158,1.381666773494295,0,1,printemps,0,False,False,True,False,False,False,1571960.0,1100000.0,115,8961.0,False,False,True,800000.0,180.0,4444.444444444444,0
381,5000000.0,516.0,9.0,3.0,4.0,teyarett,2026-02-05,3330685.925925926,15.424948670398354,18.1591445,-15.9271893,7.200246788349669,5.984872496035576,13.691263479642489,0,0,0,0,0,9689.922480620156,12,maison,1,0,0,0,0,0,0,37,2,2026,51.6,103.2,2.4,384615.3846153846,98.58047589774495,0.0,0.0,1,1,hiver,0,False,False,True,False,False,False,3330686.0,2900000.0,270,16486.0,False,True,False,5000000.0,516.0,9689.922480620155,0
1251,2300000.0,180.0,3.0,2.0,2.0,teyarett,2025-09-24,3330685.925925926,14.648420115681892,18.1591445,-15.9271893,7.200246788349669,5.984872496035576,13.691263479642489,0,0,0,0,0,12777.777777777776,5,maison,0,0,0,1,0,0,0,171,9,2025,45.0,60.0,1.6666666666666667,383333.3333333333,98.58047589774495,0.0,0.0,0,1,ete,0,False,False,True,False,False,False,3330686.0,2900000.0,270,16486.0,True,False,False,2300000.0,180.0,12777.777777777777,0
84,6500000.0,600.0,4.0,2.0,2.0,tevragh zeina,2025-04-24,8013969.43699732,15.687312888712007,18.1111443,-16.0038402,4.225776690673765,5.873823428650048,4.641185531091832,3,3,16,0,22,10833.333333333334,6,maison,0,0,0,1,0,1,0,324,4,2025,120.0,200.0,2.0,928571.4285714285,19.612613634380203,5.085791887369335,4.64018964365094,1,1,printemps,0,False,False,True,False,False,False,8013969.0,6500000.0,373,23995.0,False,False,True,6500000.0,600.0,10833.333333333334,0
193,1200000.0,200.0,1.0,1.0,2.0,arafat,2026-01-28,1676908.1967213114,13.997832948091215,18.0459512,-15.9632837,6.555869546570189,7.209088782152204,6.506583074063328,14,21,23,2,60,6000.0,2,maison,0,0,0,1,0,0,0,45,1,2026,100.0,66.66666666666667,0.6666666666666666,400000.0,42.65630982748081,9.0145997574304,9.081850531109339,0,1,hiver,0,False,False,True,False,False,False,1676908.0,1300000.0,244,10319.0,False,True,False,1200000.0,200.0,6000.0,0
175,3800000.0,400.0,7.0,1.0,2.0,sebkha,2026-02-16,3780000.0,15.150511887854474,18.0711667,-16.0026068,5.511701895622153,7.12984052327072,1.6815406951894047,7,10,49,0,66,9500.0,8,maison,0,0,0,0,0,0,0,26,2,2026,50.0,133.33333333333334,2.6666666666666665,422222.22222222225,9.268151037241235,11.761137927067805,37.04658567621617,0,0,hiver,0,False,False,True,False,False,False,3780000.0,3850000.0,10,11415.0,False,True,False,3800000.0,400.0,9500.0,0
44,1300000.0,150.0,3.0,2.0,2.0,arafat,2025-08-31,1676908.1967213114,14.077875591662238,18.0459512,-15.9632837,6.555869546570189,7.209088782152204,6.506583074063328,14,21,23,2,60,8666.666666666666,5,maison,1,0,0,1,0,1,0,195,8,2025,37.5,50.0,1.6666666666666667,216666.66666666666,42.65630982748081,9.0145997574304,9.081850531109339,0,2,ete,1,False,False,True,False,False,False,1676908.0,1300000.0,244,10319.0,True,False,False,1300000.0,150.0,8666.666666666666,0
791,980000.0,150.0,5.0,2.0,2.0,toujounine,2025-09-22,1571960.0,13.795308871054395,18.0724322,-15.9099003,6.798401097987022,5.760954844879263,11.48021623371264,6,5,4,1,16,6533.333333333333,7,maison,1,0,0,1,0,1,0,173,9,2025,25.0,50.0,2.3333333333333335,122500.0,78.04711464840045,2.319378037422158,1.381666773494295,0,2,ete,0,False,False,True,False,False,False,1571960.0,1100000.0,115,8961.0,True,False,False,980000.0,150.0,6533.333333333333,0
655,2100000.0,180.0,9.0,4.0,2.0,arafat,2025-09-21,1676908.1967213114,14.557448378884017,18.0459512,-15.9632837,6.555869546570189,7.209088782152204,6.506583074063328,14,21,23,2,60,11666.666666666666,13,maison,0,0,0,1,0,0,0,174,9,2025,18.0,60.0,4.333333333333333,150000.0,42.65630982748081,9.0145997574304,9.081850531109339,0,1,ete,1,False,False,True,False,False,False,1676908.0,1300000.0,244,10319.0,True,False,False,2100000.0,180.0,11666.666666666666,0
65,2200000.0,150.0,3.0,1.0,2.0,teyarett,2026-02-24,3330685.925925926,14.603968372873895,18.1591445,-15.9271893,7.200246788349669,5.984872496035576,13.691263479642489,0,0,0,0,0,14666.666666666666,4,maison,1,0,0,0,0,0,1,18,2,2026,37.5,50.0,1.3333333333333333,440000.0,98.58047589774495,0.0,0.0,0,1,hiver,0,False,False,True,False,False,False,3330686.0,2900000.0,270,16486.0,False,True,False,2200000.0,150.0,14666.666666666666,0
834,4600000.0,216.0,8.0,8.0,2.0,teyarett,2025-07-14,3330685.925925926,15.341567078850604,18.1591445,-15.9271893,7.200246788349669,5.984872496035576,13.691263479642489,0,0,0,0,0,21296.296296296296,16,maison,1,0,0,1,0,0,0,243,7,2025,24.0,72.0,5.333333333333333,270588.23529411765,98.58047589774495,0.0,0.0,0,2,ete,0,False,False,True,False,False,False,3330686.0,2900000.0,270,16486.0,True,False,False,4600000.0,216.0,21296.296296296296,0
877,5900000.0,250.0,8.0,5.0,2.0,tevragh zeina,2025-09-15,8013969.43699732,15.59046307836746,18.1111443,-16.0038402,4.225776690673765,5.873823428650048,4.641185531091832,3,3,16,0,22,23600.0,13,duplex,1,0,0,1,0,1,0,180,9,2025,27.77777777777778,83.33333333333333,4.333333333333333,421428.5714285714,19.612613634380203,5.085791887369335,4.64018964365094,0,2,ete,0,False,True,False,False,False,False,8013969.0,6500000.0,373,23995.0,True,False,False,5900000.0,250.0,23600.0,0
1428,5000000.0,150.0,6.0,1.0,2.0,teyarett,2025-06-06,3330685.925925926,15.424948670398354,18.1591445,-15.9271893,7.200246788349669,5.984872496035576,13.691263479642489,0,0,0,0,0,33333.333333333336,7,duplex,0,0,0,0,0,0,1,281,6,2025,21.428571428571427,50.0,2.3333333333333335,625000.0,98.58047589774495,0.0,0.0,0,0,ete,0,False,True,False,False,False,False,3330686.0,2900000.0,270,16486.0,True,False,False,5000000.0,150.0,33333.333333333336,0
347,1500000.0,180.0,3.0,2.0,2.0,toujounine,2025-05-09,1571960.0,14.220976332738882,18.0724322,-15.9099003,6.798401097987022,5.760954844879263,11.48021623371264,6,5,4,1,16,8333.333333333334,5,maison,1,0,0,1,0,1,0,309,5,2025,45.0,60.0,1.6666666666666667,250000.0,78.04711464840045,2.319378037422158,1.381666773494295,0,2,printemps,0,False,False,True,False,False,False,1571960.0,1100000.0,115,8961.0,False,False,True,1500000.0,180.0,8333.333333333334,0
