source,titre,prix,ville,quartier,type_bien,nb_chambres,nb_sdb,surface_m2,date_publication,date_scraping,url,description,page
afribaba.com,Appartement meuble à louer,50 000 MRO,Nouakchott,Non spécifié,Appartement,3,Non spécifié,Non spécifié,29 Juin 2023 - 23:28,2026-02-14,https://mr.afribaba.com/nouakchott/appartement-meuble-a-louer-3339.html,Non spécifié,1
afribaba.com,Superbe Duplex à louer,250 000 MRO,Nouakchott,Non spécifié,Appartement,4,Non spécifié,Non spécifié,04 Jan 2023 - 22:12,2026-02-14,https://mr.afribaba.com/nouakchott/superbe-duplex-a-louer-3303.html,Non spécifié,1
afribaba.com,Appartement meublé,25 000 MRO,Nouakchott,Non spécifié,Appartement,2,Non spécifié,Non spécifié,10 Jan 2022 - 13:53,2026-02-14,https://mr.afribaba.com/nouakchott/appartement-meuble-3231.html,Non spécifié,1
afribaba.com,Location terrain de 4000 m2,Non spécifié,Nouâdhibou,Non spécifié,Terrain,Non spécifié,Non spécifié,4000 m²,08 Sept 2021 - 21:56,2026-02-14,https://mr.afribaba.com/nouadhibou/location-terrain-de-4000-m2-1574.html,Non spécifié,1
afribaba.com,2 Superbes Duplex vous attendent,250 000 MRO,Nouakchott,Non spécifié,Appartement,4,Non spécifié,300 m²,20 Août 2021 - 10:52,2026-02-14,https://mr.afribaba.com/nouakchott/2-superbes-duplex-vous-attendent-3208.html,Non spécifié,1
afribaba.com,terrain à vendre,6 000 000 MRO,Nouakchott,Non spécifié,Terrain,Non spécifié,Non spécifié,210 m²,19 Avril 2021 - 09:22,2026-02-14,https://mr.afribaba.com/nouakchott/terrain-a-vendre-1978.html,Non spécifié,1
afribaba.com,"Maisons,villas,duplex à vendre - ventes immobiliéres",Non spécifié,Nouakchott,Non spécifié,Villa,Non spécifié,Non spécifié,Non spécifié,06 Mars 2021 - 13:27,2026-02-14,https://mr.afribaba.com/nouakchott/maisons-villas-duplex-a-vendre-ventes-immobilieres-3182.html,Non spécifié,1
afribaba.com,قطعة ارضية للبيع,600 000 MRO,Nouâdhibou,Non spécifié,Terrain,Non spécifié,Non spécifié,Non spécifié,29 Sept 2019 - 16:07,2026-02-14,https://mr.afribaba.com/nouadhibou/--3023.html,Non spécifié,1
afribaba.com,Avis de vente,Non spécifié,Nouâdhibou,Non spécifié,Villa,Non spécifié,Non spécifié,100 m²,17 Juil 2019 - 17:53,2026-02-14,https://mr.afribaba.com/nouadhibou/avis-de-vente-2993.html,Non spécifié,1
afribaba.com,Non spécifié,6 000 000 MRO,Nouakchott,Non spécifié,Appartement,4,Non spécifié,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,Non spécifié,1
afribaba.com,Terrain à vendre,Non spécifié,Nouakchott,Non spécifié,Terrain,Non spécifié,Non spécifié,151 m²,30 Mars 2019 - 13:56,2026-02-14,https://mr.afribaba.com/nouakchott/terrain-a-vendre-2930.html,Non spécifié,2
afribaba.com,Terrain avec bonne position,2 500 000 MRO,Nouakchott,Non spécifié,Terrain,Non spécifié,Non spécifié,Non spécifié,21 Oct 2018 - 18:03,2026-02-14,https://mr.afribaba.com/nouakchott/terrain-avec-bonne-position-2766.html,Non spécifié,2
afribaba.com,Très joli appartement meublé à louer,300 000 MRO,Nouakchott,Non spécifié,Appartement,Non spécifié,Non spécifié,Non spécifié,12 Mai 2017 - 10:52,2026-02-14,https://mr.afribaba.com/nouakchott/tres-joli-appartement-meuble-a-louer-1362.html,Non spécifié,2
afribaba.com,appartement meublée,12 000 MRO,Nouakchott,Non spécifié,Appartement,Non spécifié,Non spécifié,Non spécifié,08 Fév 2017 - 11:02,2026-02-14,https://mr.afribaba.com/nouakchott/appartement-meublee--1207.html,Non spécifié,2
afribaba.com,vente et location,20 MRO,Nouakchott,Non spécifié,Villa,Non spécifié,Non spécifié,500 m²,05 Déc 2016 - 14:02,2026-02-14,https://mr.afribaba.com/nouakchott/vente-et-location-1958.html,Non spécifié,2
afribaba.com,appartement meublé à louer à Tevrgh zeina,12 MRO,Nouakchott,Non spécifié,Appartement,Non spécifié,Non spécifié,Non spécifié,23 Nov 2016 - 10:09,2026-02-14,https://mr.afribaba.com/nouakchott/appartement-meuble-a-louer-a-tevrgh-zeina-1378.html,Non spécifié,2
afribaba.com,vente de terrain,1 200 000 MRO,Nouakchott,Non spécifié,Terrain,Non spécifié,Non spécifié,Non spécifié,04 Sept 2016 - 09:57,2026-02-14,https://mr.afribaba.com/nouakchott/vente-de-terrain-2095.html,Non spécifié,2
afribaba.com,Boutique a louer,50 000 MRO,Nouakchott,Non spécifié,Appartement,Non spécifié,Non spécifié,Non spécifié,02 Août 2016 - 21:24,2026-02-14,https://mr.afribaba.com/nouakchott/boutique-a-louer-2054.html,Non spécifié,2
afribaba.com,بيع قطعة أرضيةفي ولاية كيهيدي,1 000 000 MRO,Nouakchott,Non spécifié,Terrain,Non spécifié,Non spécifié,Non spécifié,15 Juil 2016 - 14:43,2026-02-14,https://mr.afribaba.com/kaedi/--2032.html,Non spécifié,2
afribaba.com,Non spécifié,6 000 000 MRO,Nouakchott,Non spécifié,Appartement,4,Non spécifié,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,Non spécifié,2
afribaba.com,Studio meublé à louer,180 000 MRO,Nouakchott,Non spécifié,Studio,Non spécifié,Non spécifié,Non spécifié,04 Juil 2016 - 11:16,2026-02-14,https://mr.afribaba.com/nouakchott/studio-meuble-a-louer-1340.html,Non spécifié,3
afribaba.com,Grand appartement meublé à louer,280 000 MRO,Nouakchott,Non spécifié,Appartement,2,2,Non spécifié,09 Mars 2016 - 09:19,2026-02-14,https://mr.afribaba.com/nouakchott/grand-appartement-meuble-a-louer-1377.html,Non spécifié,3
afribaba.com,أرض للبيع بتقسيم مطار نواكشوط القديم,1 600 000 MRO,Nouakchott,Non spécifié,Terrain,Non spécifié,Non spécifié,Non spécifié,02 Jan 2016 - 13:46,2026-02-14,https://mr.afribaba.com/nouakchott/--1648.html,Non spécifié,3
afribaba.com,immenble neuf à louer,3 800 000 MRO,Nouakchott,Non spécifié,Appartement,9,Non spécifié,Non spécifié,19 Sept 2015 - 19:33,2026-02-14,https://mr.afribaba.com/nouakchott/immenble-neuf-a-louer-1334.html,Non spécifié,3
afribaba.com,SUPER APPARTEMENT MEUBLEE A LOUER,150 000 MRO,Nouakchott,Non spécifié,Appartement,Non spécifié,Non spécifié,Non spécifié,21 Août 2015 - 18:40,2026-02-14,https://mr.afribaba.com/nouakchott/super-appartement-meublee-a-louer-1019.html,Non spécifié,3
afribaba.com,Non spécifié,6 000 000 MRO,Nouakchott,Non spécifié,Appartement,4,Non spécifié,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,Non spécifié,3
