source,titre,prix,type_bien,quartier,surface_m2,point_repere,vendeur,date_publication,nb_images,image_url,date_scraping,ville,nb_chambres,nb_sdb,description,id_unique,url,type_annonce,nb_vues,nb_pieces_total,meuble
elminassa.com,أرض للبيع في تفرغ زينة (Secteur 1) بمساحة 603م²,3 800 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_17-46-07-040_203.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,أرض للبيع في تفرغ زينة (Secteur 1) بمساحة 603م²,1,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة حي النجاح (NEjAh) بمساحة 442م²,5 500 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_16-41-04-855_168.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة حي النجاح (NEjAh) بمساحة 442م²,3,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة  قرب طب القلب بمساحة 602م²,5 500 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_18-44-38-159_653.png,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة  قرب طب القلب بمساحة 602م²,5,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة (Secteur 5) أفكرن بمساحة 754م²,12 500 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_18-38-57-741_741.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة (Secteur 5) أفكرن بمساحة 754م²,8,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,أرض للبيع في تفرغ زينة (Secteur 10) بمساحة 543م²,3 400 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_16-25-43-492_940.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,أرض للبيع في تفرغ زينة (Secteur 10) بمساحة 543م²,10,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة(Secteur 10) بمساحة 584م²,5 500 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_18-22-28-800_962.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة(Secteur 10) بمساحة 584م²,12,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة قريب من طريق نواذيبو المساحة 703م²,3 300 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_16-14-02-762_360.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة قريب من طريق نواذيبو المساحة 703م²,13,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع قريب من طريق أنواذيبوا بمساحة 830متر مربع,4 800 000 MRU,Terrain,Non spécifié,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_16-10-09-563_118.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع قريب من طريق أنواذيبوا بمساحة 830متر مربع,15,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة قرب الجامعة سكتير 2 بلوكات بمساحة 603متر مربع,3 800 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_16-00-34-985_608.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة قرب الجامعة سكتير 2 بلوكات بمساحة 603متر مربع,17,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة (Secteur 2) بمساحة 603م²,3 500 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_18-12-38-344_128.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة (Secteur 2) بمساحة 603م²,19,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة (Secteur 5) أفكرن بمساحة 603م²,9 000 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-26_18-07-15-544_137.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة (Secteur 5) أفكرن بمساحة 603م²,21,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,نصف قطعة أرض للبيع في تفرغ زينة حي الجامع خلف (حمام النيل المساحة) 300م²,2 500 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-13_09-50-52-268_262.png,2026-02-27,Nouakchott,Non spécifié,Non spécifié,نصف قطعة أرض للبيع في تفرغ زينة حي الجامع خلف (حمام النيل المساحة) 300م²,23,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة على كدرو أوكار بمساحة 300م²,2 500 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-23_16-08-24-916_492.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة على كدرو أوكار بمساحة 300م²,24,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض مميزة للبيع في تفرغ زينة قرب طب القلب بمساحة 704م²,3 400 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-19_17-46-08-463_717.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض مميزة للبيع في تفرغ زينة قرب طب القلب بمساحة 704م²,26,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,للبيع قطعة أرض في Reserve-SNIM تفرغ زينة بمساحة 200م²,2 200 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-19_22-52-45-127_318.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,للبيع قطعة أرض في Reserve-SNIM تفرغ زينة بمساحة 200م²,28,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,للبيع قطعة أرض جميلة في تفرغ زينة (Reserve- SNIM) بمساحة 200متر مربع,2 200 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-19_22-55-11-544_187.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,للبيع قطعة أرض جميلة في تفرغ زينة (Reserve- SNIM) بمساحة 200متر مربع,29,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
elminassa.com,قطعة أرض للبيع في تفرغ زينة Reserve-SNIM المساحة 200م²,2 400 000 MRU,Terrain,Tevragh Zeina,Non spécifié,Non spécifié,elminassa.com,Non spécifiée,1,https://sidimedsbucket.s3.amazonaws.com/photo_2026-02-19_22-41-48-618_268.jpg,2026-02-27,Nouakchott,Non spécifié,Non spécifié,قطعة أرض للبيع في تفرغ زينة Reserve-SNIM المساحة 200م²,30,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié
