"source","titre","prix","type_bien","quartier","surface_m2","point_repere","vendeur","date_publication","nb_images","image_url","date_scraping","ville","nb_chambres","nb_sdb","description","page","id_unique","type_annonce","nb_vues","nb_pieces_total","meuble","telephone"
"untoitenrim.com","Appartement à louer à Cité Plage","10 000 MRU","Appartement","Cité Plage","Non spécifié","Non spécifié","Amadou Kane","Non spécifiée","1","https://untoitenrim.com/images/annonces/68f2bd40a59f7_main.png","2026-02-27","Nouakchott","2","1","C'est un appartement spacieux situé à l'étage composé de : - 2 chambres (qui ont respectivement leurs douches internes) ; - 1 Hall; - 1 remise; - 1 douche externe ; - 1 cuisine ; L'appartement se situe a Cité Plage à proximité de La caserne de pompier. il est demandé 2 mois d'avance et 1 mois de caution.","1","43","Location","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","Appartement à louer à Cité Plage","10 000 MRU","Appartement","Cité Plage","Non spécifié","Non spécifié","Amadou Kane","Non spécifiée","1","https://untoitenrim.com/images/annonces/68f2bd0de3f04_main.png","2026-02-27","Nouakchott","2","1","C'est un appartement spacieux situé à l'étage composé de : - 2 chambres (qui ont respectivement leurs douches internes) ; - 1 salons ; - 1 Hall; - 1 douche externe ; - 1 cuisine ; L'appartement se situe a Cité Plage à proximité de La caserne de pompier. il est demandé 2 mois d'avance et 1 mois de caution.","1","42","Location","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","Appartement à louer à Cité Plage","20 000 MRU","Appartement","Cité Plage","Non spécifié","Non spécifié","Amadou Kane","Non spécifiée","1","https://untoitenrim.com/images/annonces/68f2bc64953a7_main.png","2026-02-27","Nouakchott","4","1","C'est un appartement spacieux situé à l'étage composé de : - 4 chambres (dont une avec douche interne et une autre avec un dressing) ; - 2 salons ; - 1 douche externe ; - 1 cuisine ; - 2 Entrées. L'appartement se situe a Cité Plage à proximité de Mauritanie Aluminium. il est demandé 2 mois d'avance et 1 mois de caution.","1","41","Location","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","MAGASIN A LOUER","5 000 MRU","Local commercial","Non spécifié","Non spécifié","Non spécifié","YATOO","Non spécifiée","1","https://untoitenrim.com/images/annonces/68c415f7e2d2b_main.png","2026-02-27","Nouakchott","Non spécifié","Non spécifié","Nous mettons en location un grand magasin de 14m/6;5m au 6ème en face du goudron à proximité de robinet 4 non loin de Yero Sarr. Un cadre commercial idéal avec une bonne affluence 1 mois de caution 2 mois d'avance","1","40","Location","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","ETAGE EN VENTE","3 500 000 MRU","Non spécifié","Non spécifié","300 m²","Non spécifié","YATOO","Non spécifiée","1","https://untoitenrim.com/images/annonces/68c41023a89ba_main.jpg","2026-02-27","Nouakchott","3","1","Nous mettons en vente un immeuble de deux appartements et de deux grands magasins en en vente. Emplacement stratégique au 6ème non loin du goudron en face de la gare de Sonef situé à l'ange chaque appartement à l'étage comporte 3 Chambres 1 salon 1 toilette Au rez-de-chaussée nous avons deux grands magasins le bâtiment est déjà loué et rapporte 15.500 MRU par mois; les loyers peuvent être revaloriser après la cession Superficie : 300 m2 documents disponibles et conformes","1","39","Vente","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","Chambre à loué dans un appartement vers hotel EMIRA","3 000 MRU","Appartement","Non spécifié","Non spécifié","Non spécifié","MOHAMED MAREGA","Non spécifiée","1","https://untoitenrim.com/images/annonces/68b1bc99ed4b0_main.PNG","2026-02-27","Nouakchott","Non spécifié","Non spécifié","Chambre à loué dans un appartement vers hotel EMIRA; profil recherché : Jeune Célibataire sans enfant qui travail. Dans l'appartement se trouve déjà 2 jeunes hommes célibataires chacun dans sa propre chambre.","1","38","Non spécifié","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","STUDIO A LOUER","8 000 MRU","Studio","Non spécifié","Non spécifié","Non spécifié","DIERY GROUPE & CO","Non spécifiée","1","https://untoitenrim.com/images/annonces/689caaa09998f_main.jpeg","2026-02-27","Nouakchott","1","1","Studio à louer à la cité plage Situé au premier étage d'un immeuble il comporte : - 1 hall - 1 toilette publique - 1 chambre - 1 chambre avec toilette - 1 cuisine conditions 1 mois de caution 2 mois d'avance","1","36","Location","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","STUDIO A LOUER","4 500 MRU","Studio","Non spécifié","Non spécifié","Non spécifié","YATOO","Non spécifiée","1","https://untoitenrim.com/images/annonces/689ca894cdc32_main.jpeg","2026-02-27","Nouakchott","1","1","Studio à louer à Dar Naïm 18 un studio composé de : - 1 chambre avec douche interne - 1 salon - 1 cuisine - 1 hall - 1 toilette public à dar naim 18; juste collé à l'ancien aéroport 1 mois de caution 2 mois d'avance","1","35","Location","cloturée","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","VILLA DUPLEX A LOUER","45 000 MRU","Villa","Non spécifié","Non spécifié","Non spécifié","DIERY GROUPE & CO","Non spécifiée","1","https://untoitenrim.com/images/annonces/689a74930ce61_main.jpeg","2026-02-27","Nouakchott","2","Non spécifié","🏡 Villa haut standing à louer – Cité Plage; Nouakchott 📍 À deux pas de l’école Cheikh Moussa; dans un quartier résidentiel calme et sécurisé Description générale : Découvrez cette spacieuse villa offrant confort; intimité et fonctionnalité; idéale pour une grande famille ou une organisation. Avec ses espaces généreux; ses finitions soignées et son emplacement stratégique; elle répond aux plus hautes exigences en matière d’habitat. 📌 Composition : 🔹 Rez-de-chaussée : Grand garage sécurisé Très grande cour intérieure 2 salons lumineux 2 chambres avec salles de bain privatives Hall spacieux Cuisine moderne Toilette visiteurs 🔹 Étage : 4 chambres avec salles de bain 1 salon confortable 🔹 Annexe : Loge pour gardien ✅ Points forts : Quartier calme; sécurisé et proche de toutes commodités Idéal pour familles nombreuses ou usage professionnel Conception alliant modernité et confort Proximité immédiate de l’école Cheikh Moussa et de la plage 💰 Prix : 45000 en raison de 3 mois 📞 Contactez nous pour une visite","1","34","Location","en cours","Non spécifié","Non spécifié","Non spécifié"
"untoitenrim.com","VILLA DUPLEX A LOUER","40 000 MRU","Villa","Non spécifié","Non spécifié","Non spécifié","YATOO","Non spécifiée","1","https://untoitenrim.com/images/annonces/689a4bebbb96e_main.jpeg","2026-02-27","Nouakchott","5","Non spécifié","🏡 Grande Villa à Louer – Ilot K; Nouakchott 📍 À deux pas de l’Ambassade de France – Quartier résidentiel hautement sécurisé Découvrez cette superbe villa spacieuse et lumineuse; idéale pour les familles ou professionnels expatriés recherchant confort; intimité et tranquillité. ✨ Caractéristiques : 5 chambres spacieuses 3 points d'eau 1 grand salon 1 cuisine 1 hall accueillant Un vaste balcon & une grande terrasse Très grande cour arborée Garage couvert pour 3 véhicules Aucun vis-à-vis – intimité garantie Cadre verdoyant et calme 🌿 Environnement : Située dans une zone résidentielle prisée; sécurisée; et habitée par de nombreux expatriés. À proximité immédiate des ambassades; écoles internationales; commerces et services essentiels. 💰 Loyer : 40 000 MRU / mois Conditions : 2 mois d’avance + 1 mois de caution 📞 Contactez-nous dès aujourd’hui pour organiser une visite et découvrir ce cadre exceptionnel","1","33","Location","en cours","Non spécifié","Non spécifié","Non spécifié"
