source,url,titre,prix,type_bien,quartier,surface_m2,point_repere,vendeur,date_publication,nb_images,image_url,date_scraping,ville
voursa.com,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيـــع-فالصحراوي--7ca1,نيمرو للبيـــع فالصحراوي,"6,000,000 MRU",Terrain,Tevragh Zeina,Non spécifié,Non spécifié,"نيمرو للبيـــع فالصحراوي 6,000,000 MRU Terrain il y a 27 minutes •",il y a 27 minutes,2,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772193491514_1000869204.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/نص-نيمرو-فالمطار-بلوك-59--4444,نص نيمرو فالمطار بلوك 59,"1,050,000 MRU",Terrain,Dar Naim,Non spécifié,Non spécifié,"نص نيمرو فالمطار بلوك 59 1,050,000 MRU Terrain il y a 42 minutes •",il y a 42 minutes,1,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772193832169_1000869249.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-بوش-9-افكرن-قريب-من-كدروه--498a,نيمرو من بوش 9 أفكرن قريب من كدروه,"4,800,000 MRU",Terrain,Tevragh Zeina,Non spécifié,Non spécifié,"نيمرو من بوش 9 أفكرن قريب من كدروه 4,800,000 MRU Terrain il y a 57 minutes •",il y a 57 minutes,1,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772194442116_1000869262.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/نص-نيمرو-فكرن-من-شرم-الشيخ-في-البوادي-نظيف-6c2f,نص نيمرو فكرن من شرم الشيخ في البوادي نظيف,"1,800,000 MRU",Terrain,Teyarett,Non spécifié,Non spécifié,"نص نيمرو فكرن من شرم الشيخ في البوادي نظيف 1,800,000 MRU Terrain il y a 57 minutes •",il y a 57 minutes,1,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772195746459_1000999190.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/يوجد-عندن-فرصة-حقيقية-نيمرو-مساحتو-300m2-على-كدروه-عين-طلح-و-البوادي-فاز-2-برمة-و-كتانص-6935,يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص,"2,900,000 MRU",Terrain,Teyarett,Non spécifié,Non spécifié,"يوجد عندن فرصة حقيقية نيمرو مساحتو 300m2 على كدروه عين طلح و البوادي فاز 2 برمة و كتانص 2,900,000 MRU Terrain il y a 57 minutes •",il y a 57 minutes,2,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772195939850_%25D9%25A2%25D9%25A0%25D9%25A2%25D9%25A6%25D9%25A0%25D9%25A2%25D9%25A2%25D9%25A3_%25D9%25A1%25D9%25A0%25D9%25A1%25D9%25A1%25D9%25A3%25D9%25A7.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/فرصة-سوق-للبيع-ف-مديل-f-سانتر-متير-موقع-ممتاز-دخل-معتبر-570c,فرصة سوق للبيع ف مديل F سانتر متير موقع ممتاز دخل معتبر,"23,000,000 MRU",Immobilier commercial et industriel,Tevragh Zeina,Non spécifié,Non spécifié,"فرصة سوق للبيع ف مديل F سانتر متير موقع ممتاز دخل معتبر 23,000,000 MRU Immobilier commercial et industriel il y a 58 minutes •",il y a 58 minutes,1,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772192740524_1000426040.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فعين-الطلح-6b5d,نيمرو فعين الطلح,"630,000 MRU",Immobilier résidentiel,Teyarett,Non spécifié,Non spécifié,"نيمرو فعين الطلح 630,000 MRU Immobilier résidentiel il y a 3 heures •",2026-02-27,6,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772185833636_Untitled%2520design.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-بوش-9-ف-للمربع-الذهبي-بين-نيمروين-امع-كدروه-للبيع--34bd,نيمرو من بوش 9 ف للمربع الذهبي بين نيمروين امع كدروه للبيع,"4,200,000 MRU",Terrain,Tevragh Zeina,Non spécifié,Non spécifié,"نيمرو من بوش 9 ف للمربع الذهبي بين نيمروين امع كدروه للبيع 4,200,000 MRU Terrain il y a 4 heures •",2026-02-27,1,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772152918370_Screenshot_%25D9%25A2%25D9%25A0%25D9%25A2%25D9%25A6%25D9%25A0%25D9%25A2%25D9%25A2%25D9%25A7_%25D9%25A1%25D9%25A2%25D9%25A3%25D9%25A6%25D9%25A3%25D9%25A4_Samsung%2520Internet.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-بوش-9-للبيع--b53d,نيمرو فكرن من بوش 9 للبيع,"4,900,000 MRU",Terrain,Tevragh Zeina,Non spécifié,Non spécifié,"نيمرو فكرن من بوش 9 للبيع 4,900,000 MRU Terrain il y a 4 heures •",2026-02-27,1,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772156660279_Screenshot_%25D9%25A2%25D9%25A0%25D9%25A2%25D9%25A6%25D9%25A0%25D9%25A2%25D9%25A2%25D9%25A7_%25D9%25A1%25D9%25A3%25D9%25A4%25D9%25A1%25D9%25A1%25D9%25A9_Gallery.jpg&w=3840&q=75,2026-02-27,Nouakchott
voursa.com,https://voursa.com/FR/categories/real_estate/ads/سوق-للبيع-7b67,سوق للبيع,"23,000,000 MRU",Immobilier commercial et industriel,Tevragh Zeina,Non spécifié,Non spécifié,"سوق للبيع 23,000,000 MRU Immobilier commercial et industriel il y a 4 heures •",2026-02-27,1,https://voursa.com/_next/image?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1772156274654_1000432896.jpg&w=3840&q=75,2026-02-27,Nouakchott
